gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1411495321	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NH:OBS411794835	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Mt. Cardigan - Orange	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.648734	-71.913586							1990-06-10T02:00Z	10	6	1990	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_NH	OBS411794835			CC0_1_0		obsr190897			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411495269	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NH:OBS411794849	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Mt. Cardigan - Orange	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.648734	-71.913586							1990-07-10T02:00Z	10	7	1990	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_NH	OBS411794849			CC0_1_0		obsr190897			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411456669	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS410528674	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Whiteface Mountain--hiking trail	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.378107	-73.880813							2012-05-28T02:00Z	28	5	2012	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS410528674			CC0_1_0		obsr640979			2017-02-17T06:20Z		
1411421051	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_QC:OBS410496586	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	CA	Parc régional du Massif-du-Sud	e2e717bf-551a-4917-bdc9-4fa0f342c530	46.628837	-70.466586							2005-07-10T02:00Z	10	7	2005	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD_QC	OBS410496586			CC0_1_0		obsr436154			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411372127	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS409648327	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Mt. Mansfield IBA	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.528164	-72.816124							2012-05-31T02:00Z	31	5	2012	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS409648327			CC0_1_0		obsr640979			2017-02-17T06:20Z		
1411272401	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS408501095	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Sandy Hook	e2e717bf-551a-4917-bdc9-4fa0f342c530	40.462262	-73.9941							2003-05-25T02:00Z	25	5	2003	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS408501095			CC0_1_0		obsr331096			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411188403	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS407152476	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	White Mt. NF--Jackson Webster Trail - Carroll/Harts Location	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.209429	-71.396477							1994-07-02T02:00Z	2	7	1994	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS407152476			CC0_1_0		obsr495362			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411182275	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS407161510	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Keese Mill Road	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.46607	-74.269595							1998-06-10T02:00Z	10	6	1998	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS407161510			CC0_1_0		obsr495362			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411181415	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS407156497	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Keese Mill Road	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.46607	-74.269595							1994-06-26T02:00Z	26	6	1994	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS407156497			CC0_1_0		obsr495362			2017-02-17T06:20Z		COORDINATE_ROUNDED
1411144584	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS407383979	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	US	Whiteface Mt--Memorial Hwy near road end	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.368364	-73.90166							2003-06-15T02:00Z	15	6	2003	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS407383979			CC0_1_0		obsr300904			2017-02-17T06:20Z		COORDINATE_ROUNDED
