parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,decimalLatitude,decimalLongitude,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,country,countryCode,geodeticDatum,dynamicProperties,,,,,,,,
10602-2,10602-2.2,10602-2.2-1,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-2,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-3,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-4,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-5,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-6,1,1,individuals,Tyrannus dominicensis,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-7,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-8,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-9,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.2,10602-2.2-10,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:11,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
