parentEventID,eventID,occurenceID,individualCount,organsimQuantity,organsimQuantityType,scientificName,kingdom,phylum,class,taxonRank,decimalLatitude,decimalLongitude,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,country,countryCode,geodeticDatum,dynamicProperties,,,,,,,,
10602-1,10602-1.1,10602-1.1-12,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:29,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-13,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:29,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-14,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:29,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-15,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:29,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.1,10602-1.1-16,1,1,individuals,Thalasseus maximus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:29,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-1,1,1,individuals,Anthracothorax dominicus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-2,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-3,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-4,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-5,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-6,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-7,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-8,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-9,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-10,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-11,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-12,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-13,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-14,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.2,10602-1.2-15,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:35,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-1,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-2,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-3,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-4,3,3,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-5,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-6,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-7,1,1,individuals,Turdus plumbeus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-8,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-9,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-10,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-11,2,2,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-12,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-13,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.3,10602-1.3-14,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:39,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-1,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-2,2,2,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-3,3,3,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-4,1,1,individuals,Todus mexicanus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-5,2,2,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-6,1,1,individuals,Myiarchus antillarum,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-7,1,1,individuals,Turdus plumbeus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-8,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-9,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-10,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-11,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""0-10""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-12,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-13,1,1,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-1,10602-1.4,10602-1.4-14,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,17.94183,-66.94299,3/27/15 6:44,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-1,1,1,individuals,Tiaris bicolor,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-2,2,2,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""11-25""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-3,2,2,individuals,Vireo altiloquus,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-4,1,1,individuals,Elaenia martinica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-5,1,1,individuals,Loxigilla portoricensis,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-6,1,1,individuals,Vireo latimeri,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-7,1,1,individuals,Zenaida asiatica,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":"">50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-8,1,1,individuals,Setophaga adelaidae,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-9,1,1,individuals,Coereba flaveola,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-10,1,1,individuals,Icterus icterus,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-11,2,2,individuals,Zenaida aurita,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""26-50""}""",,,,,,,,
10602-2,10602-2.1,10602-2.1-12,1,1,individuals,Cathartes aura,Animalia,Chordata,Aves,species,17.94143,-66.94154,3/27/15 7:05,point count,2.5,minute,Puerto Rico,PR,WGS84,"""{""distanceFromObserversInMeters"":""Fly-over/Volandos""}""",,,,,,,,
